2019-10-21 11:48:15.959 INFO	c.t.a.f.f.r.a.FileDatasetBuilder:165	 ADF Selected; adf type ([ENVISAT_PROCESSOR_CONFIG]), file type (PROCESSOR_CONFIG), filename  (/media/fast_data/fast_test_data/data/aatsr/adf/ATS_PC1_AXVIEC20120618_154211_20101022_000000_20200101_000000)	
FileDataset input = {UNCERTAINTY_ESTIMATES_LUT_S5=/mnt/SAN_AATSRESL/Data/Uncertainty_estimates/AATSR/v2/ATS_UNC_S5_LUT20160728_000000_20020301_000000_20200101_000000.csv, UNCERTAINTY_ESTIMATES_LUT_S9=/mnt/SAN_AATSRESL/Data/Uncertainty_estimates/AATSR/v2/ATS_UNC_S9_LUT20160728_000000_20020301_000000_20200101_000000.csv, METEROLOGICAL_SURFACE_FORECAST=/mnt/SAN_AATSRESL/Data/Meteo_data/AUX_MET_SFC_FCST20161026_170000_20120401_000000_20120430_235959.grib, METEROLOGICAL_SURFACE_ANALYSIS=/mnt/SAN_AATSRESL/Data/Meteo_data/AUX_MET_SFC_ANLYS20161026_170000_20120401_000000_20120430_235959.grib, UNCERTAINTY_ESTIMATES_LUT_S1=/mnt/SAN_AATSRESL/Data/Uncertainty_estimates/AATSR/v2/ATS_UNC_S1_LUT20160728_000000_20020301_000000_20200101_000000.csv, CLOUD_LUT=/mnt/SAN_AATSRESL/Data/Available_Data_Files/ADF/AATSR/cloud_lut/ATS_CL1_AXVIEC20120618_144125_20020301_000000_20200101_000000, UNCERTAINTY_ESTIMATES_LUT_S7=/mnt/SAN_AATSRESL/Data/Uncertainty_estimates/AATSR/v2/ATS_UNC_S7_LUT20160728_000000_20020301_000000_20200101_000000.csv, UNCERTAINTY_ESTIMATES_LUT_S8=/mnt/SAN_AATSRESL/Data/Uncertainty_estimates/AATSR/v2/ATS_UNC_S8_LUT20160728_000000_20020301_000000_20200101_000000.csv, UNCERTAINTY_ESTIMATES_LUT_S2=/mnt/SAN_AATSRESL/Data/Uncertainty_estimates/AATSR/v2/ATS_UNC_S2_LUT20160728_000000_20020301_000000_20200101_000000.csv, CHARACTERISATION=/mnt/SAN_AATSRESL/Data/Available_Data_Files/ADF/AATSR/characterisation/Changed_mirror_offset/ATS_CH1_AXVTPZ20190702_000000_20020301_000000_20200101_000000, PROCESSOR_CONFIG=/media/fast_data/fast_test_data/data/aatsr/adf/ATS_PC1_AXVIEC20120618_154211_20101022_000000_20200101_000000, ATTITUDE=/mnt/SAN_AATSRESL/Data/TEST_DATA/AUX_FRA_ENVISAT_FAKE.XML, GENERAL_CALIBRATION=/mnt/SAN_AATSRESL/AATSR_UBT_TDS/Input/Common_Static_ADF/ATS_GC1_AXVIEC20070720_093834_20020301_000000_20200101_000000, VISIBLE_CALIBRATION=/mnt/SAN_AATSRESL/AATSR_UBT_TDS/Input/TDS1/ATS_VC1_AXVRAL20120531_120019_20120407_160340_20120408_160340, ORBIT_STATE_VECTOR=/mnt/SAN_AATSRESL/Data/OSV_data/XML_format/ENVISAT_DORVOR_xml/DOR_VOR_AXVF-P20120509_160200_20120407_215526_20120409_002326.xml, UBT=/mnt/SAN_AATSRESL/AATSR_UBT_TDS/4thOutputTDS2-4/20160721_TDS2-4/TDS2/ATS_TOA_1ATGAM20120408_034259_000065273113_00262_52862_0015.N1, METEROLOGICAL_PROFILE_ANALYSIS=/mnt/SAN_AATSRESL/Data/Meteo_data/AUX_MET_PRF_ANLYS20161026_170000_20120401_000000_20120430_235959.grib, UNCERTAINTY_ESTIMATES_LUT_S3=/mnt/SAN_AATSRESL/Data/Uncertainty_estimates/AATSR/v2/ATS_UNC_S3_LUT20160728_000000_20020301_000000_20200101_000000.csv, QI_LUT=/mnt/SAN_AATSRESL/Data/Quality_information/AATSR/ATS_QI_LUT20170628_000000_20020301_000000_20200101_000000.csv}
2019-10-21 11:48:29.841 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1180 latitude 23.75749606030817 longitude 85.70469515516636	
2019-10-21 11:48:29.844 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1181 latitude 23.81201267773839 longitude 85.79423605252497	
2019-10-21 11:48:29.845 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 23.86385181872529 longitude 85.88504546975027	
2019-10-21 11:48:29.845 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1180 latitude 23.91296102671105 longitude 85.97678653964358	
2019-10-21 11:48:29.846 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1178 latitude 23.959292134395486 longitude 86.06902742912618	
2019-10-21 11:48:29.847 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 24.00294453216305 longitude 86.16240951828367	
2019-10-21 11:48:29.847 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1177 latitude 24.043778413833948 longitude 86.25563452612967	
2019-10-21 11:48:29.848 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 24.081941049543673 longitude 86.34984864829622	
2019-10-21 11:48:29.849 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 24.1174074898062 longitude 86.44480059676485	
